bundle_id,slug,title,keep,primary_stage,dependencies,downloads,stars,installs_current,checked_at,reason,review_note
academic-research-plus,arxiv-watcher,ArXiv Watcher,yes,information_acquisition,公共 API,9585,9,111,2026-04-08,如果研究涉及大模型、算力、算法前沿，ArXiv 监测是高价值入口。,已实装检查；带脚本；直接调用 ArXiv API；能力与名称一致。
academic-research-plus,google-scholar-search-skill,Google Scholar Search Skill,yes,information_acquisition,网页抓取/爬取,820,1,3,2026-04-08,Google Scholar 方向可选项不多，这个条目是相对更完整的候选。,已实装检查；带 Python 脚本和 requirements.txt；但本质是 Scholar 爬取方案，不如官方 API 稳。
academic-research-plus,research-paper-compare,Research Paper Compare,yes,analysis_modeling,需要论文全文,172,1,1,2026-04-08,对比分析是高价值研究动作，这个方向值得保留。,已实装检查；方法约束清楚；强调必须获取全文后再比较；适合作为高价值论文对比技能。
analysis-modeling-plus,afrexai-swot-analyzer,SWOT Analyzer,yes,analysis_modeling,分析框架，可配合检索,832,2,5,2026-04-08,适合作为固定分析模板型技能，尤其是策略部分。,已实装检查；更像高质量 SWOT 模板，适合分析建模增强包。
analysis-modeling-plus,competitor-analysis-report,Competitor Analysis Report,yes,analysis_modeling,外部检索工作流,1034,0,3,2026-04-09,竞对研究是常见智库任务，这个条目直接面向结构化竞品报告产出，适合补回分析建模包。,已实装检查；提供完整竞对报告框架、矩阵、SWOT 和建议结构；更像高质量研究模板，需结合公开资料检索使用。
analysis-modeling-plus,porters-five-forces,Porters Five Forces,yes,analysis_modeling,分析框架,99,0,1,2026-04-09,五力模型是典型商业分析框架，和分析建模包定位高度一致，值得保留一个专门条目。,已实装检查；内容较轻但框架清楚、边界明确；属于方法模板型 skill，不是自动抓数工具。
analysis-modeling-plus,strategic-competitor-analysis,Strategic Competitor Analysis,yes,analysis_modeling,分析框架,150,0,0,2026-04-09,适合补强竞对画像和竞争格局分析，让分析建模包不只剩 SWOT。,已实装检查；结构化程度高；覆盖竞争集合、画像、对比矩阵和战略含义；属于分析框架型 skill。
delivery-plus,baoyu-infographic,Baoyu Infographic,yes,visualization,依赖图像生成工作流,1367,1,44,2026-04-09,相比轻量信息图条目更完整，适合作为成果展示增强的主力候选。,已实装检查；references 很完整；覆盖 21 种布局和 20 种风格；更像成熟的信息图工作流，但依赖图像生成能力。
delivery-plus,article-to-infographic,Article to Infographic,yes,visualization,浏览器自动化,814,0,1,2026-04-08,信息图方向可选项不多，更适合做成果展示和传播材料。,已实装检查；包结构完整；但流程较重、确认步骤多，更适合增强包。
delivery-plus,office-to-pdf,office-to-pdf,yes,report_delivery,本地桌面 CLI,257,0,2,2026-04-09,交付前常有 Office 成果物统一转 PDF 的需求，这个条目适合作为补充转换能力。,已实装检查；能力单一但明确；依赖本地 LibreOffice headless CLI；更适合作为交付转换补充项。
delivery-plus,pdf-to-word,pdf-to-word,yes,document_processing,本地 Python,820,1,6,2026-04-09,PDF 转 Word 是高频交付前处理需求，这个条目比纯服务型候选更可控。,已实装检查；带 convert.py 和 requirements.txt；依赖 pdf2docx；复杂排版与扫描件效果有限。
field-research-plus,interview-analysis,Interview Analysis,yes,knowledge_structuring,模板工作流,2045,1,10,2026-04-10,适合把访谈记录整理成画像、洞察和评估卡，补强调研材料整理环节。,已实装检查；带 README 和多份模板；默认语境偏招聘访谈，但方法可迁移到专家访谈和用户访谈分析。
field-research-plus,interview-designer,Interview Designer,yes,information_acquisition,模板工作流,1847,3,10,2026-04-10,适合作为访谈提纲设计和追问设计工具，补强调研访谈执行前准备。,已实装检查；带 README、模板和参考资料；默认语境偏招聘面试，但提纲设计逻辑可迁移到调研访谈。
monitoring-and-insight,brave-api-search,Brave Api Search,yes,information_acquisition,需要 API Key,6309,1,29,2026-04-09,适合作为 Tavily 之外的补充搜索源，用于交叉验证和备份检索。,已实装检查；有独立 JS 工具文件；需要 BRAVE_SEARCH_API_KEY 和 BRAVE_ANSWERS_API_KEY。
monitoring-and-insight,firecrawl-search,Firecrawl Search,yes,information_acquisition,需要 API Key,16870,48,133,2026-04-09,网页抓取和结构化提取能力很强，适合作为动态监测与补充抓取能力。,已实装检查；带 scripts 和参考文档；明确依赖 FIRECRAWL_API_KEY。
monitoring-and-insight,news-aggregator,News Aggregator,yes,information_acquisition,外部检索工作流,9324,9,110,2026-04-08,对政策环境、产业动态和舆情跟踪类研究有直接价值。,已实装检查；更像新闻聚合工作流模板；本身不带抓取脚本，依赖 Tavily 或 web_fetch。
thinktank-core,document-summary,Document Summary,yes,knowledge_structuring,无,2899,2,24,2026-04-08,适合作为跨 PDF 和 Word 的摘要中间层。,已实装检查；内容偏轻；更像结构化摘要模板，不是强工具能力。
thinktank-core,drawio-pro-skill,Drawio Skill,yes,visualization,本地桌面 CLI,53,1,0,2026-04-09,改用本地版 draw.io 技能，符合本地优先方向。,已实装检查；本地生成 .drawio 并依赖 draw.io 桌面 CLI 导出；符合本地优先方向。
thinktank-core,excalidraw-diagram-generator,Excalidraw Diagram Generator,yes,visualization,无,2214,2,21,2026-04-08,适合头脑风暴、草图和早期结构表达。,已实装检查；定位清晰；输出 .excalidraw 文件；适合草图和头脑风暴。
thinktank-core,excel-xlsx,Excel / XLSX,yes,document_processing,无,47257,186,541,2026-04-08,当前 Excel 类最强头部技能之一，适合作为稳定表格工具链的一部分。,已实装检查；规则完整；覆盖公式、日期、重算、模板保真等关键问题。
thinktank-core,in-depth-research,Deep Research,yes,information_acquisition,无,6376,7,52,2026-04-08,适合作为智库研究总控入口，能把找资料、扩材料、追证据、形成研究路径串起来。,已实装检查；带 methodology、sources、output-formats，属于完整研究方法框架，不是空壳。
thinktank-core,market-research-agent,Market Research Agent,yes,analysis_modeling,分析框架,5392,17,29,2026-04-08,比纯搜索类技能更贴近从资料走向洞察的分析中层。,已实装检查；更像结构化市场研究框架，不是自动抓数工具。
thinktank-core,markitdown-skill,MarkItDown Skill,yes,document_processing,需 pip 安装命令行工具,1514,0,7,2026-04-09,统一覆盖多类型文档转 Markdown，适合资料清洗和内容提取。,已实装检查；包内容完整；但实际转换依赖 pip 安装的 markitdown CLI。
thinktank-core,mermaid-diagrams,Mermaid Diagrams,yes,visualization,Mermaid CLI 可选,4503,5,46,2026-04-09,相比 mermaid-architect 更完整、数据更稳，适合作为默认 Mermaid 主力技能。,已实装检查；内容和参考资料完整；平台数据明显优于 mermaid-architect。
thinktank-core,openclaw-tavily-search,Tavily 搜索,yes,information_acquisition,需要 API Key,75851,208,1118,2026-04-09,当前 ClawdHub 上最强的通用搜索类 skill 之一，适合作为默认基础搜索入口。,已实装检查；带本地脚本；本质是 Tavily API 封装，需要 TAVILY_API_KEY。
thinktank-core,powerpoint-pptx,Powerpoint / PPTX,yes,report_delivery,无,29332,93,299,2026-04-08,研究成果经常以 PPT 交付，这个技能成熟度很高，应作为默认装机项。,已实装检查；方法论完整；适合作为 PPT 主力条目。
thinktank-core,word-docx,Word / DOCX,yes,report_delivery,无,52576,236,549,2026-04-08,当前 ClawdHub 上最强的 Word 类技能，正式报告和研究成稿都离不开它。,已实装检查；虽主包结构轻，但文档方法论完整，是高质量 DOCX/OOXML 技能。
thinktank-core,pdf-pro,Pdf Pro,yes,document_processing,本地 Python,859,1,5,2026-04-09,相比其他 PDF 候选更完整，适合作为基础 PDF 处理候选；当前默认源可装，中国镜像暂未收录，后续可继续观察。,已实装检查；带 scripts/pdf_tools.py；覆盖 PDF 合并、分割、提取、旋转、压缩和图片互转；默认源安装成功，但中国镜像安装时报 not found。
,betasurvey,Beta Survey Analysis,no,knowledge_structuring,本地 Python，需模型 API,48,0,0,2026-04-10,依赖模型 API 且平台验证度偏低，当前先不保留在正式清单中。,已实装检查；带 analyze.py 和示例数据；结构真实；但热度很低，还依赖外部模型能力。
,limesurvey-openclaw-skill,LimeSurvey Openclaw Skill,no,information_acquisition,需要环境变量和平台账号,305,0,1,2026-04-10,平台绑定很强，当前先不保留在正式清单中。,已实装检查；这里的平台是自建或机构已有的 LimeSurvey 系统；依赖 RemoteControl API 地址、服务账号和环境变量。
,wenjuan-survey,Questionnaire Assistant,no,information_acquisition,需要平台登录/授权,30,0,0,2026-04-10,平台绑定很强且验证度偏低，当前先不保留在正式清单中。,已实装检查；这里的平台是问卷网；包体完整，但依赖问卷网账号登录、授权和特定平台流程。
,market-analysis-cn,Market Analysis CN,no,analysis_modeling,付费服务,8330,18,109,2026-04-09,服务化属性明显，当前不再保留在正式清单中。,已实装检查；SKILL.md 和 metadata 都写了定价信息，属于商业分析服务。
,pdf-ocr,Pdf Ocr,no,document_processing,需要 API Key，且有额度限制,4201,1,55,2026-04-09,依赖外部 OCR 且存在安全与额度问题，当前不再保留在正式清单中。,已实装检查；专项能力真实；依赖百度 OCR；SKILL.md 中直接写出 key、secret 和免费额度。
,trend-watcher,Trend Watcher,no,analysis_modeling,GitHub Trending,5369,7,46,2026-04-08,当前实现偏开发者生态趋势监测，不再保留在正式清单中。,已实装检查；实际是 GitHub Trending 和开发者生态监测，不太贴合智库研究场景。
,data-analyst-pro,Data Analyst,no,analysis_modeling,无,5153,5,48,2026-04-08,内容偏薄，当前不再保留在正式清单中。,已实装检查；内容很薄；更像简短代理提示，不像成熟工具技能。
,cnki-scholar,CNKI Scholar,no,information_acquisition,名称易误导,167,0,0,2026-04-08,名称容易让人误判，不建议继续纳入。,已实装检查；更像 OpenAlex 和 Crossref 检索说明，不是真正的 CNKI 接入。
,drawio-exporter-skill,Draw.io Diagram Generator And Exporter,no,visualization,本地桌面 CLI,0,0,0,2026-04-09,本地 draw.io CLI 路线可用，但当前优先保留一个 draw.io 代表项即可。,已实装检查；也是本地 draw.io CLI 路线；当前未纳入以避免重复。
,drawio-generator,drawio-generator,no,visualization,浏览器链接/网页,714,1,6,2026-04-09,被更本地化的 draw.io 方案替代。,已实装检查；更像浏览器打开 draw.io 链接的轻量入口，不如本地 draw.io 方案。
,mermaid-architect,Mermaid Architect,no,visualization,文档不完整,1718,0,11,2026-04-09,被内容更完整、数据更稳的 Mermaid 条目替代。,已实装检查；内容和引用不够完整；平台数据也弱于 mermaid-diagrams。
,patent-scanner,Patent Scanner,no,information_acquisition,名称易误导,2528,14,9,2026-04-08,名称与实际能力不符，不建议继续纳入。,已实装检查；实际是可专利性分析模板，不是专利检索或扫描工具。
,pdf-helper,PDF 助手,no,document_processing,付费服务,865,0,3,2026-04-09,明显外部服务型，不建议纳入。,已实装检查；带调用计费信息。
,pdf-processing,pdf-processing,no,document_processing,偏占位/半成品,2292,0,16,2026-04-09,内容偏占位，完成度不足。,已实装检查；包里几乎没有真实脚本。
,pdf-smart-tool-cn,Pdf Smart Tool Cn,no,document_processing,次数限制服务,0,0,0,2026-04-09,存在明显免费次数限制，不适合作为高质量基础能力。,已检查使用限制；免费次数限制明显。
,pdf-to-markdown,PDF to Markdown,no,document_processing,本地 CLI,699,0,6,2026-04-09,质量不错但能力范围偏窄，当前未纳入主清单。,已实装检查；偏本地且结构完整；更适合 PDF 提取和转 Markdown。
,pdf-to-word,pdf-to-word,no,document_processing,本地 Python,812,1,6,2026-04-09,能用但范围较窄，可作专项补充。,已实装检查；偏 PDF 转 Word 的专项能力。
,pdf-toolkit-pro,PDF Toolkit Pro,no,document_processing,付费服务,2242,0,23,2026-04-09,存在明确价格分层，不适合作为默认核心能力。,已实装检查；结构完整；但有清晰收费档位。